number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
1,AG2310.SHF,20230418,5725.0,5718.0,5715.0,5715.0,5623.0,5659.0,5659.0,-59.0,-59.0,1714.0,14550.67,2564.0,288.0,
2,AG2310.SHF,20230417,5817.0,5796.0,5798.0,5820.0,5679.0,5725.0,5718.0,-71.0,-78.0,1818.0,15594.37,2276.0,39.0,
3,AG2310.SHF,20230414,5720.0,5707.0,5776.0,5848.0,5754.0,5817.0,5796.0,110.0,89.0,1331.0,11573.66,2237.0,90.0,
4,AG2310.SHF,20230413,5706.0,5670.0,5744.0,5766.0,5660.0,5720.0,5707.0,50.0,37.0,1164.0,9964.74,2147.0,-108.0,
5,AG2310.SHF,20230412,5609.0,5588.0,5601.0,5721.0,5585.0,5706.0,5670.0,118.0,82.0,1032.0,8777.84,2255.0,167.0,
6,AG2310.SHF,20230411,5559.0,5567.0,5557.0,5630.0,5546.0,5609.0,5588.0,42.0,21.0,1027.0,8608.73,2088.0,181.0,
7,AG2310.SHF,20230410,5624.0,5590.0,5605.0,5606.0,5538.0,5559.0,5567.0,-31.0,-23.0,750.0,6263.0,1907.0,-20.0,
8,AG2310.SHF,20230407,5582.0,5560.0,5576.0,5638.0,5527.0,5624.0,5590.0,64.0,30.0,1183.0,9920.12,1927.0,148.0,
9,AG2310.SHF,20230406,5385.0,5370.0,5493.0,5587.0,5493.0,5582.0,5560.0,212.0,190.0,1968.0,16414.1,1779.0,-387.0,
10,AG2310.SHF,20230404,5324.0,5347.0,5371.0,5400.0,5352.0,5385.0,5370.0,38.0,23.0,1157.0,9319.9,2166.0,-176.0,
11,AG2310.SHF,20230403,5374.0,5342.0,5381.0,5400.0,5307.0,5324.0,5347.0,-18.0,5.0,1608.0,12897.02,2342.0,-412.0,
12,AG2310.SHF,20230331,5321.0,5285.0,5344.0,5374.0,5295.0,5374.0,5342.0,89.0,57.0,706.0,5658.13,2754.0,-37.0,
13,AG2310.SHF,20230330,5242.0,5256.0,5259.0,5324.0,5250.0,5321.0,5285.0,65.0,29.0,795.0,6302.93,2791.0,-244.0,
14,AG2310.SHF,20230329,5214.0,5220.0,5233.0,5280.0,5218.0,5242.0,5256.0,22.0,36.0,604.0,4762.23,3035.0,-149.0,
15,AG2310.SHF,20230328,5225.0,5245.0,5205.0,5243.0,5198.0,5214.0,5220.0,-31.0,-25.0,466.0,3648.82,3184.0,-60.0,
16,AG2310.SHF,20230327,5244.0,5234.0,5308.0,5330.0,5202.0,5225.0,5245.0,-9.0,11.0,2600.0,20455.8,3244.0,482.0,
17,AG2310.SHF,20230324,5218.0,5203.0,5216.0,5273.0,5197.0,5244.0,5234.0,41.0,31.0,534.0,4192.98,2762.0,36.0,
18,AG2310.SHF,20230323,5175.0,5144.0,5149.0,5253.0,5149.0,5218.0,5203.0,74.0,59.0,633.0,4941.15,2726.0,75.0,
19,AG2310.SHF,20230322,5160.0,5153.0,5165.0,5180.0,5120.0,5175.0,5144.0,22.0,-9.0,713.0,5501.88,2651.0,-32.0,
20,AG2310.SHF,20230321,5180.0,5144.0,5146.0,5200.0,5110.0,5160.0,5153.0,16.0,9.0,1042.0,8055.34,2683.0,1.0,
21,AG2310.SHF,20230320,5086.0,5060.0,5097.0,5206.0,5085.0,5180.0,5144.0,120.0,84.0,1651.0,12740.12,2682.0,103.0,
22,AG2310.SHF,20230317,5072.0,5117.0,5098.0,5113.0,5007.0,5086.0,5060.0,-31.0,-57.0,718.0,5449.85,2579.0,28.0,
23,AG2310.SHF,20230316,5090.0,5080.0,5181.0,5181.0,5070.0,5072.0,5117.0,-8.0,37.0,675.0,5181.97,2551.0,-13.0,
24,AG2310.SHF,20230315,5094.0,5066.0,5087.0,5098.0,5064.0,5090.0,5080.0,24.0,14.0,394.0,3002.81,2564.0,20.0,
25,AG2310.SHF,20230314,4945.0,4909.0,5048.0,5102.0,5037.0,5094.0,5066.0,185.0,157.0,863.0,6558.77,2544.0,97.0,
26,AG2310.SHF,20230313,4819.0,4826.0,4836.0,4965.0,4836.0,4945.0,4909.0,119.0,83.0,955.0,7032.53,2447.0,-42.0,
27,AG2310.SHF,20230310,4825.0,4828.0,4833.0,4865.0,4801.0,4819.0,4826.0,-9.0,-2.0,711.0,5147.2,2489.0,29.0,
28,AG2310.SHF,20230309,4817.0,4875.0,4832.0,4854.0,4817.0,4825.0,4828.0,-50.0,-47.0,387.0,2802.73,2460.0,34.0,
29,AG2310.SHF,20230308,4987.0,5001.0,4972.0,4972.0,4800.0,4817.0,4875.0,-184.0,-126.0,1145.0,8373.47,2426.0,141.0,
30,AG2310.SHF,20230307,5013.0,4988.0,5011.0,5018.0,4983.0,4987.0,5001.0,-1.0,13.0,316.0,2370.81,2285.0,-4.0,
31,AG2310.SHF,20230306,4964.0,4948.0,4972.0,5022.0,4958.0,5013.0,4988.0,65.0,40.0,777.0,5814.55,2289.0,-36.0,
32,AG2310.SHF,20230303,4928.0,4944.0,4927.0,4975.0,4918.0,4964.0,4948.0,20.0,4.0,439.0,3258.73,2325.0,20.0,
33,AG2310.SHF,20230302,4973.0,4942.0,4969.0,4971.0,4925.0,4928.0,4944.0,-14.0,2.0,385.0,2855.48,2305.0,16.0,
34,AG2310.SHF,20230301,4917.0,4919.0,4903.0,4977.0,4903.0,4973.0,4942.0,54.0,23.0,576.0,4270.53,2289.0,-27.0,
35,AG2310.SHF,20230228,4906.0,4937.0,4910.0,4932.0,4905.0,4917.0,4919.0,-20.0,-18.0,781.0,5762.85,2316.0,514.0,
36,AG2310.SHF,20230227,4983.0,4992.0,4968.0,4973.0,4893.0,4906.0,4937.0,-86.0,-55.0,589.0,4362.45,1802.0,28.0,
37,AG2310.SHF,20230224,5001.0,5008.0,5003.0,5016.0,4973.0,4983.0,4992.0,-25.0,-16.0,581.0,4350.6,1774.0,-123.0,
38,AG2310.SHF,20230223,5028.0,5029.0,5044.0,5050.0,4993.0,5001.0,5008.0,-28.0,-21.0,260.0,1953.18,1897.0,-56.0,
39,AG2310.SHF,20230222,5000.0,5006.0,5005.0,5052.0,5005.0,5028.0,5029.0,22.0,23.0,327.0,2467.05,1953.0,-5.0,
40,AG2310.SHF,20230221,5005.0,4975.0,5005.0,5024.0,4992.0,5000.0,5006.0,25.0,31.0,1024.0,7689.87,1958.0,-497.0,
41,AG2310.SHF,20230220,4923.0,4939.0,4922.0,5016.0,4920.0,5005.0,4975.0,66.0,36.0,766.0,5716.79,2455.0,43.0,
42,AG2310.SHF,20230217,4961.0,4954.0,4957.0,4970.0,4918.0,4923.0,4939.0,-31.0,-15.0,642.0,4756.39,2412.0,-25.0,
43,AG2310.SHF,20230216,4951.0,4966.0,4933.0,4977.0,4917.0,4961.0,4954.0,-5.0,-12.0,687.0,5105.48,2437.0,-248.0,
44,AG2310.SHF,20230215,4988.0,4976.0,4958.0,4999.0,4938.0,4951.0,4966.0,-25.0,-10.0,805.0,5997.58,2685.0,106.0,
45,AG2310.SHF,20230214,4980.0,4984.0,4986.0,4994.0,4961.0,4988.0,4976.0,4.0,-8.0,721.0,5381.83,2579.0,-291.0,
46,AG2310.SHF,20230213,4968.0,5001.0,4992.0,5013.0,4960.0,4980.0,4984.0,-21.0,-17.0,495.0,3701.33,2870.0,3.0,
47,AG2310.SHF,20230210,5039.0,5042.0,5038.0,5077.0,4944.0,4968.0,5001.0,-74.0,-41.0,712.0,5341.54,2867.0,75.0,
48,AG2310.SHF,20230209,5039.0,5034.0,5052.0,5067.0,5020.0,5039.0,5042.0,5.0,8.0,347.0,2624.36,2792.0,18.0,
49,AG2310.SHF,20230208,5045.0,5052.0,5036.0,5060.0,5008.0,5039.0,5034.0,-13.0,-18.0,358.0,2703.32,2774.0,14.0,
50,AG2310.SHF,20230207,5065.0,5126.0,5067.0,5071.0,5033.0,5045.0,5052.0,-81.0,-74.0,495.0,3751.62,2760.0,-15.0,
51,AG2310.SHF,20230206,5238.0,5330.0,5233.0,5233.0,5048.0,5065.0,5126.0,-265.0,-204.0,1067.0,8205.49,2775.0,138.0,
52,AG2310.SHF,20230203,5340.0,5318.0,5407.0,5420.0,5228.0,5238.0,5330.0,-80.0,12.0,1358.0,10858.49,2637.0,14.0,
53,AG2310.SHF,20230202,5264.0,5246.0,5247.0,5381.0,5217.0,5340.0,5318.0,94.0,72.0,901.0,7187.53,2623.0,-6.0,
54,AG2310.SHF,20230201,5228.0,5250.0,5191.0,5271.0,5188.0,5264.0,5246.0,14.0,-4.0,538.0,4233.98,2629.0,-34.0,
55,AG2310.SHF,20230131,5276.0,5275.0,5275.0,5282.0,5213.0,5228.0,5250.0,-47.0,-25.0,471.0,3709.5,2663.0,-23.0,
56,AG2310.SHF,20230130,5343.0,5271.0,5288.0,5300.0,5244.0,5276.0,5275.0,5.0,4.0,628.0,4969.896,2686.0,372.0,
57,AG2310.SHF,20230120,5212.0,5275.0,5212.0,5349.0,5170.0,5343.0,5271.0,68.0,-4.0,619.0,4894.12,2314.0,-61.0,
58,AG2310.SHF,20230119,5331.0,5335.0,5366.0,5376.0,5193.0,5212.0,5275.0,-123.0,-60.0,1071.0,8474.92,2375.0,215.0,
59,AG2310.SHF,20230118,5342.0,5348.0,5345.0,5365.0,5308.0,5331.0,5335.0,-17.0,-13.0,512.0,4097.43,2160.0,-31.0,
60,AG2310.SHF,20230117,5352.0,5316.0,5324.0,5386.0,5309.0,5342.0,5348.0,26.0,32.0,403.0,3233.28,2191.0,7.0,
61,AG2310.SHF,20230116,5258.0,5274.0,5229.0,5391.0,5214.0,5352.0,5316.0,78.0,42.0,646.0,5151.37,2184.0,17.0,
62,AG2310.SHF,20230113,5241.0,5242.0,5276.0,5321.0,5233.0,5258.0,5274.0,16.0,32.0,645.0,5102.76,2167.0,26.0,
63,AG2310.SHF,20230112,5294.0,5264.0,5289.0,5291.0,5190.0,5241.0,5242.0,-23.0,-22.0,491.0,3860.89,2141.0,-10.0,
64,AG2310.SHF,20230111,5236.0,5269.0,5214.0,5308.0,5214.0,5294.0,5264.0,25.0,-5.0,475.0,3750.99,2151.0,-34.0,
65,AG2310.SHF,20230110,5308.0,5282.0,5295.0,5314.0,5220.0,5236.0,5269.0,-46.0,-13.0,633.0,5003.85,2185.0,88.0,
66,AG2310.SHF,20230109,5203.0,5208.0,5200.0,5323.0,5193.0,5308.0,5282.0,100.0,74.0,1160.0,9192.07,2097.0,474.0,
67,AG2310.SHF,20230106,5269.0,5345.0,5246.0,5259.0,5180.0,5203.0,5208.0,-142.0,-137.0,1387.0,10835.77,1623.0,532.0,
68,AG2310.SHF,20230105,5395.0,5412.0,5398.0,5429.0,5266.0,5269.0,5345.0,-143.0,-67.0,827.0,6631.36,1091.0,-69.0,
69,AG2310.SHF,20230104,5445.0,5403.0,5439.0,5460.0,5371.0,5395.0,5412.0,-8.0,9.0,494.0,4010.6,1160.0,-37.0,
70,AG2310.SHF,20230103,5417.0,5405.0,5445.0,5456.0,5365.0,5445.0,5403.0,40.0,-2.0,1539.0,12473.04,1197.0,-1316.0,
71,AG2310.SHF,20221230,5345.0,5348.0,5372.0,5430.0,5371.0,5417.0,5405.0,69.0,57.0,294.0,2383.83,2513.0,67.0,
72,AG2310.SHF,20221229,5417.0,5420.0,5401.0,5418.0,5315.0,5345.0,5348.0,-75.0,-72.0,676.0,5423.62,2446.0,133.0,
73,AG2310.SHF,20221228,5440.0,5398.0,5433.0,5454.0,5386.0,5417.0,5420.0,19.0,22.0,251.0,2040.92,2313.0,19.0,
74,AG2310.SHF,20221227,5378.0,5370.0,5370.0,5453.0,5366.0,5440.0,5398.0,70.0,28.0,355.0,2874.69,2294.0,-32.0,
75,AG2310.SHF,20221226,5349.0,5346.0,5357.0,5396.0,5348.0,5378.0,5370.0,32.0,24.0,209.0,1683.63,2326.0,0.0,
76,AG2310.SHF,20221223,5373.0,5419.0,5373.0,5400.0,5302.0,5349.0,5346.0,-70.0,-73.0,504.0,4042.22,2326.0,-12.0,
77,AG2310.SHF,20221222,5420.0,5404.0,5429.0,5455.0,5365.0,5373.0,5419.0,-31.0,15.0,348.0,2828.76,2338.0,22.0,
78,AG2310.SHF,20221221,5278.0,5271.0,5348.0,5477.0,5342.0,5420.0,5404.0,149.0,133.0,630.0,5107.34,2316.0,11.0,
79,AG2310.SHF,20221220,5279.0,5279.0,5281.0,5313.0,5238.0,5278.0,5271.0,-1.0,-8.0,637.0,5036.91,2305.0,29.0,
80,AG2310.SHF,20221219,5259.0,5291.0,5251.0,5327.0,5231.0,5279.0,5279.0,-12.0,-12.0,1015.0,8037.37,2276.0,46.0,
81,AG2310.SHF,20221216,5335.0,5396.0,5316.0,5351.0,5223.0,5259.0,5291.0,-137.0,-105.0,1189.0,9437.05,2230.0,-36.0,
