number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
1,MA2309.ZCE,20230418,2438.0,2421.0,2440.0,2450.0,2429.0,2446.0,2441.0,25.0,20.0,824078.0,2011420.97,1262730.0,-49642.0,
2,MA2309.ZCE,20230417,2403.0,2409.0,2398.0,2440.0,2397.0,2438.0,2421.0,29.0,12.0,773482.0,1872466.83,1312372.0,170700.0,
3,MA2309.ZCE,20230414,2390.0,2396.0,2390.0,2424.0,2390.0,2403.0,2409.0,7.0,13.0,540766.0,1302590.62,1141672.0,56099.0,
4,MA2309.ZCE,20230413,2387.0,2385.0,2395.0,2409.0,2381.0,2390.0,2396.0,5.0,11.0,506763.0,1214420.66,1085573.0,70342.0,
5,MA2309.ZCE,20230412,2395.0,2385.0,2398.0,2398.0,2371.0,2387.0,2385.0,2.0,0.0,476913.0,1137347.65,1015231.0,99479.0,
6,MA2309.ZCE,20230411,2379.0,2390.0,2374.0,2402.0,2372.0,2395.0,2385.0,5.0,-5.0,384098.0,916109.83,915752.0,35401.0,
7,MA2309.ZCE,20230410,2410.0,2407.0,2411.0,2417.0,2368.0,2379.0,2390.0,-28.0,-17.0,449088.0,1073342.2,880351.0,95123.0,
8,MA2309.ZCE,20230407,2403.0,2422.0,2405.0,2418.0,2392.0,2410.0,2407.0,-12.0,-15.0,356248.0,857513.6,785228.0,22197.0,
9,MA2309.ZCE,20230406,2438.0,2440.0,2425.0,2446.0,2401.0,2403.0,2422.0,-37.0,-18.0,418659.0,1013918.7,763031.0,58617.0,
10,MA2309.ZCE,20230404,2442.0,2463.0,2445.0,2450.0,2431.0,2438.0,2440.0,-25.0,-23.0,296309.0,722945.86,704414.0,59425.0,
11,MA2309.ZCE,20230403,2458.0,2460.0,2460.0,2498.0,2440.0,2442.0,2463.0,-18.0,3.0,397967.0,980124.75,644989.0,34279.0,
12,MA2309.ZCE,20230331,2437.0,2437.0,2440.0,2478.0,2438.0,2458.0,2460.0,21.0,23.0,314758.0,774403.97,610710.0,35166.0,
13,MA2309.ZCE,20230330,2428.0,2438.0,2436.0,2449.0,2425.0,2437.0,2437.0,-1.0,-1.0,202648.0,493941.89,575544.0,9194.0,
14,MA2309.ZCE,20230329,2448.0,2456.0,2445.0,2452.0,2424.0,2428.0,2438.0,-28.0,-18.0,263264.0,641794.32,566350.0,29492.0,
15,MA2309.ZCE,20230328,2451.0,2445.0,2456.0,2471.0,2442.0,2448.0,2456.0,3.0,11.0,235176.0,577593.06,536858.0,13177.0,
16,MA2309.ZCE,20230327,2450.0,2440.0,2438.0,2462.0,2432.0,2451.0,2445.0,11.0,5.0,231368.0,565771.18,523681.0,5636.0,
17,MA2309.ZCE,20230324,2441.0,2443.0,2442.0,2457.0,2413.0,2450.0,2440.0,7.0,-3.0,220430.0,537831.05,518045.0,40426.0,
18,MA2309.ZCE,20230323,2438.0,2432.0,2441.0,2454.0,2431.0,2441.0,2443.0,9.0,11.0,121040.0,295699.82,477619.0,14127.0,
19,MA2309.ZCE,20230322,2424.0,2436.0,2433.0,2443.0,2421.0,2438.0,2432.0,2.0,-4.0,121747.0,296056.69,463492.0,3637.0,
20,MA2309.ZCE,20230321,2441.0,2449.0,2448.0,2452.0,2420.0,2424.0,2436.0,-25.0,-13.0,124485.0,303274.66,459855.0,18144.0,
21,MA2309.ZCE,20230320,2448.0,2455.0,2445.0,2461.0,2436.0,2441.0,2449.0,-14.0,-6.0,183239.0,448754.06,441711.0,9954.0,
22,MA2309.ZCE,20230317,2436.0,2463.0,2437.0,2473.0,2432.0,2448.0,2455.0,-15.0,-8.0,180775.0,443725.24,431757.0,20358.0,
23,MA2309.ZCE,20230316,2517.0,2528.0,2500.0,2505.0,2428.0,2436.0,2463.0,-92.0,-65.0,170294.0,419492.29,411399.0,40007.0,
24,MA2309.ZCE,20230315,2536.0,2532.0,2537.0,2546.0,2512.0,2517.0,2528.0,-15.0,-4.0,102360.0,258806.59,371392.0,11806.0,
25,MA2309.ZCE,20230314,2542.0,2532.0,2510.0,2550.0,2505.0,2536.0,2532.0,4.0,0.0,103763.0,262734.47,359586.0,5145.0,
26,MA2309.ZCE,20230313,2521.0,2545.0,2517.0,2547.0,2517.0,2542.0,2532.0,-3.0,-13.0,118580.0,300224.39,354441.0,1566.0,
27,MA2309.ZCE,20230310,2552.0,2551.0,2552.0,2576.0,2517.0,2521.0,2545.0,-30.0,-6.0,148291.0,377453.89,352875.0,27597.0,
28,MA2309.ZCE,20230309,2561.0,2583.0,2563.0,2565.0,2541.0,2552.0,2551.0,-31.0,-32.0,110083.0,280829.45,325278.0,10130.0,
29,MA2309.ZCE,20230308,2591.0,2585.0,2591.0,2603.0,2556.0,2561.0,2583.0,-24.0,-2.0,143637.0,371039.28,315148.0,17371.0,
30,MA2309.ZCE,20230307,2560.0,2552.0,2555.0,2609.0,2553.0,2591.0,2585.0,39.0,33.0,139154.0,359756.48,297777.0,-1277.0,
31,MA2309.ZCE,20230306,2558.0,2556.0,2554.0,2565.0,2537.0,2560.0,2552.0,4.0,-4.0,94253.0,240508.4,299054.0,12147.0,
32,MA2309.ZCE,20230303,2571.0,2572.0,2567.0,2571.0,2541.0,2558.0,2556.0,-14.0,-16.0,127159.0,325010.02,286907.0,14014.0,
33,MA2309.ZCE,20230302,2579.0,2567.0,2572.0,2581.0,2559.0,2571.0,2572.0,4.0,5.0,84579.0,217533.47,272893.0,9471.0,
34,MA2309.ZCE,20230301,2564.0,2567.0,2568.0,2584.0,2546.0,2579.0,2567.0,12.0,0.0,78614.0,201835.54,263422.0,-3032.0,
35,MA2309.ZCE,20230228,2586.0,2599.0,2585.0,2589.0,2549.0,2564.0,2567.0,-35.0,-32.0,60771.0,155978.97,266454.0,2001.0,
36,MA2309.ZCE,20230227,2606.0,2601.0,2596.0,2614.0,2578.0,2586.0,2599.0,-15.0,-2.0,81836.0,212671.65,264453.0,14968.0,
37,MA2309.ZCE,20230224,2597.0,2603.0,2595.0,2618.0,2579.0,2606.0,2601.0,3.0,-2.0,76874.0,199975.06,249485.0,8567.0,
38,MA2309.ZCE,20230223,2564.0,2563.0,2590.0,2627.0,2579.0,2597.0,2603.0,34.0,40.0,116753.0,303919.07,240918.0,22290.0,
39,MA2309.ZCE,20230222,2550.0,2537.0,2548.0,2580.0,2545.0,2564.0,2563.0,27.0,26.0,61831.0,158469.72,218628.0,1636.0,
40,MA2309.ZCE,20230221,2519.0,2501.0,2519.0,2551.0,2519.0,2550.0,2537.0,49.0,36.0,59222.0,150248.82,216992.0,-9.0,
41,MA2309.ZCE,20230220,2513.0,2516.0,2505.0,2523.0,2481.0,2519.0,2501.0,3.0,-15.0,65369.0,163495.03,217001.0,4889.0,
42,MA2309.ZCE,20230217,2506.0,2496.0,2504.0,2529.0,2502.0,2513.0,2516.0,17.0,20.0,64659.0,162660.01,212112.0,4646.0,
43,MA2309.ZCE,20230216,2488.0,2501.0,2491.0,2510.0,2478.0,2506.0,2496.0,5.0,-5.0,54999.0,137256.76,207466.0,11050.0,
44,MA2309.ZCE,20230215,2500.0,2508.0,2498.0,2524.0,2478.0,2488.0,2501.0,-20.0,-7.0,49260.0,123203.6,196416.0,8582.0,
45,MA2309.ZCE,20230214,2514.0,2526.0,2517.0,2524.0,2492.0,2500.0,2508.0,-26.0,-18.0,65258.0,163653.38,187834.0,13159.0,
46,MA2309.ZCE,20230213,2541.0,2555.0,2549.0,2553.0,2506.0,2514.0,2526.0,-41.0,-29.0,54527.0,137742.17,174675.0,8613.0,
47,MA2309.ZCE,20230210,2588.0,2591.0,2584.0,2588.0,2526.0,2541.0,2555.0,-50.0,-36.0,50906.0,130078.1,166062.0,16917.0,
48,MA2309.ZCE,20230209,2593.0,2596.0,2592.0,2605.0,2580.0,2588.0,2591.0,-8.0,-5.0,27562.0,71426.73,149145.0,7478.0,
49,MA2309.ZCE,20230208,2616.0,2615.0,2621.0,2622.0,2572.0,2593.0,2596.0,-22.0,-19.0,29144.0,75654.79,141667.0,8873.0,
50,MA2309.ZCE,20230207,2631.0,2622.0,2639.0,2642.0,2583.0,2616.0,2615.0,-6.0,-7.0,24873.0,65052.56,132794.0,3150.0,
51,MA2309.ZCE,20230206,2630.0,2636.0,2634.0,2648.0,2596.0,2631.0,2622.0,-5.0,-14.0,37250.0,97683.14,129644.0,12209.0,
52,MA2309.ZCE,20230203,2654.0,2681.0,2648.0,2663.0,2612.0,2630.0,2636.0,-51.0,-45.0,30749.0,81046.93,117435.0,5811.0,
53,MA2309.ZCE,20230202,2690.0,2690.0,2697.0,2701.0,2649.0,2654.0,2681.0,-36.0,-9.0,29292.0,78537.61,111624.0,4780.0,
54,MA2309.ZCE,20230201,2721.0,2726.0,2718.0,2719.0,2668.0,2690.0,2690.0,-36.0,-36.0,35589.0,95733.96,106844.0,6012.0,
55,MA2309.ZCE,20230131,2727.0,2751.0,2734.0,2741.0,2709.0,2721.0,2726.0,-30.0,-25.0,13585.0,37031.11,100832.0,1662.0,
56,MA2309.ZCE,20230130,2757.0,2737.0,2770.0,2780.0,2718.0,2727.0,2751.0,-10.0,14.0,17994.0,49493.92,99170.0,4308.0,
57,MA2309.ZCE,20230120,2726.0,2714.0,2724.0,2762.0,2716.0,2757.0,2737.0,43.0,23.0,11273.0,30857.12,94862.0,1728.0,
58,MA2309.ZCE,20230119,2687.0,2684.0,2691.0,2742.0,2688.0,2726.0,2714.0,42.0,30.0,16106.0,43719.71,93134.0,1715.0,
59,MA2309.ZCE,20230118,2674.0,2658.0,2682.0,2699.0,2672.0,2687.0,2684.0,29.0,26.0,8356.0,22431.56,91419.0,645.0,
60,MA2309.ZCE,20230117,2631.0,2637.0,2634.0,2690.0,2617.0,2674.0,2658.0,37.0,21.0,14845.0,39450.99,90774.0,1236.0,
61,MA2309.ZCE,20230116,2655.0,2654.0,2659.0,2667.0,2619.0,2631.0,2637.0,-23.0,-17.0,10342.0,27268.43,89538.0,3190.0,
62,MA2309.ZCE,20230113,2630.0,2626.0,2632.0,2669.0,2632.0,2655.0,2654.0,29.0,28.0,16954.0,44991.27,86348.0,4384.0,
