number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
1,V2309.DCE,20230418,6087.0,6052.0,6074.0,6182.0,6074.0,6180.0,6128.0,128.0,76.0,806130.0,2470316.12,641972.0,14653.0,
2,V2309.DCE,20230417,6025.0,6029.0,6025.0,6092.0,6015.0,6087.0,6052.0,58.0,23.0,517459.0,1566065.19,627319.0,27152.0,
3,V2309.DCE,20230414,6033.0,6055.0,6028.0,6059.0,6003.0,6025.0,6029.0,-30.0,-26.0,430627.0,1298206.83,600167.0,48969.0,
4,V2309.DCE,20230413,6099.0,6122.0,6104.0,6114.0,5998.0,6033.0,6055.0,-89.0,-67.0,602597.0,1824556.57,551198.0,134715.0,
5,V2309.DCE,20230412,6151.0,6132.0,6146.0,6156.0,6096.0,6099.0,6122.0,-33.0,-10.0,238026.0,728607.13,416483.0,48876.0,
6,V2309.DCE,20230411,6160.0,6187.0,6150.0,6167.0,6103.0,6151.0,6132.0,-36.0,-55.0,240545.0,737627.0,367607.0,21966.0,
7,V2309.DCE,20230410,6226.0,6195.0,6238.0,6239.0,6140.0,6160.0,6187.0,-35.0,-8.0,246918.0,763942.0,345641.0,20779.0,
8,V2309.DCE,20230407,6158.0,6198.0,6164.0,6230.0,6158.0,6226.0,6195.0,28.0,-3.0,219258.0,679177.37,324862.0,452.0,
9,V2309.DCE,20230406,6200.0,6211.0,6190.0,6254.0,6152.0,6158.0,6198.0,-53.0,-13.0,219091.0,678978.47,324410.0,21078.0,
10,V2309.DCE,20230404,6251.0,6290.0,6250.0,6252.0,6168.0,6200.0,6211.0,-90.0,-79.0,207467.0,644373.64,303332.0,29601.0,
11,V2309.DCE,20230403,6264.0,6269.0,6269.0,6368.0,6248.0,6251.0,6290.0,-18.0,21.0,246991.0,776880.87,273731.0,23579.0,
12,V2309.DCE,20230331,6249.0,6228.0,6256.0,6302.0,6238.0,6264.0,6269.0,36.0,41.0,149925.0,470013.95,250152.0,-2738.0,
13,V2309.DCE,20230330,6252.0,6258.0,6235.0,6270.0,6191.0,6249.0,6228.0,-9.0,-30.0,149243.0,464769.65,252890.0,10146.0,
14,V2309.DCE,20230329,6244.0,6233.0,6245.0,6292.0,6226.0,6252.0,6258.0,19.0,25.0,172316.0,539212.41,242744.0,7240.0,
15,V2309.DCE,20230328,6188.0,6168.0,6195.0,6261.0,6194.0,6244.0,6233.0,76.0,65.0,116336.0,362582.96,235504.0,-99.0,
16,V2309.DCE,20230327,6144.0,6096.0,6112.0,6199.0,6094.0,6188.0,6168.0,92.0,72.0,159073.0,490615.84,235603.0,570.0,
17,V2309.DCE,20230324,6072.0,6096.0,6052.0,6148.0,6037.0,6144.0,6096.0,48.0,0.0,145977.0,444962.34,235033.0,-6077.0,
18,V2309.DCE,20230323,6157.0,6154.0,6157.0,6164.0,6052.0,6072.0,6096.0,-82.0,-58.0,164365.0,501006.09,241110.0,32428.0,
19,V2309.DCE,20230322,6133.0,6152.0,6150.0,6194.0,6120.0,6157.0,6154.0,5.0,2.0,103452.0,318368.13,208682.0,1836.0,
20,V2309.DCE,20230321,6145.0,6164.0,6158.0,6188.0,6113.0,6133.0,6152.0,-31.0,-12.0,92607.0,284871.99,206846.0,5106.0,
