ts_code,trade_time,open,close,high,low,vol,amount,oi,change1
OI2309.ZCE,2023-04-20 15:00:00,8514.0,8517.0,8522.0,8509.0,15960.0,1359653790.0,241161.0,
OI2309.ZCE,2023-04-20 14:45:00,8504.0,8514.0,8520.0,8501.0,16780.0,1428149220.0,243353.0,-3.0
OI2309.ZCE,2023-04-20 14:30:00,8508.0,8504.0,8509.0,8491.0,16524.0,1404785370.0,243723.0,-10.0
OI2309.ZCE,2023-04-20 14:15:00,8515.0,8508.0,8521.0,8506.0,15276.0,1300559590.0,244169.0,4.0
OI2309.ZCE,2023-04-20 14:00:00,8508.0,8514.0,8523.0,8502.0,19726.0,1679284380.0,245028.0,6.0
OI2309.ZCE,2023-04-20 13:45:00,8491.0,8509.0,8513.0,8482.0,24848.0,2112151950.0,246837.0,-5.0
OI2309.ZCE,2023-04-20 11:30:00,8466.0,8480.0,8494.0,8466.0,21983.0,1864838180.0,247467.0,-29.0
OI2309.ZCE,2023-04-20 11:15:00,8510.0,8466.0,8513.0,8466.0,41936.0,3557196570.0,247556.0,-14.0
OI2309.ZCE,2023-04-20 11:00:00,8507.0,8509.0,8529.0,8504.0,27507.0,2342386050.0,245310.0,43.0
OI2309.ZCE,2023-04-20 10:45:00,8583.0,8508.0,8585.0,8506.0,60530.0,5168558300.0,244425.0,-1.0
OI2309.ZCE,2023-04-20 10:15:00,8609.0,8584.0,8618.0,8579.0,19911.0,1711081970.0,243339.0,76.0
OI2309.ZCE,2023-04-20 10:00:00,8600.0,8608.0,8625.0,8599.0,17913.0,1543137470.0,243383.0,24.0
OI2309.ZCE,2023-04-20 09:45:00,8590.0,8599.0,8618.0,8583.0,20499.0,1763342640.0,242739.0,-9.0
OI2309.ZCE,2023-04-20 09:30:00,8586.0,8590.0,8599.0,8573.0,19562.0,1679581180.0,242905.0,-9.0
OI2309.ZCE,2023-04-20 09:15:00,8599.0,8586.0,8621.0,8573.0,53219.0,4574699820.0,243927.0,-4.0
OI2309.ZCE,2023-04-19 23:00:00,8639.0,8638.0,8641.0,8628.0,19780.0,1707925370.0,242545.0,52.0
OI2309.ZCE,2023-04-19 22:45:00,8604.0,8640.0,8640.0,8601.0,32567.0,2807444710.0,245257.0,2.0
OI2309.ZCE,2023-04-19 22:30:00,8580.0,8604.0,8608.0,8580.0,22320.0,1918265620.0,244140.0,-36.0
OI2309.ZCE,2023-04-19 22:15:00,8563.0,8580.0,8590.0,8554.0,33700.0,2889030470.0,244679.0,-24.0
OI2309.ZCE,2023-04-19 22:00:00,8568.0,8563.0,8582.0,8560.0,22985.0,1970775190.0,244084.0,-17.0
OI2309.ZCE,2023-04-19 21:45:00,8570.0,8569.0,8586.0,8556.0,36297.0,3111211420.0,244244.0,6.0
OI2309.ZCE,2023-04-19 21:30:00,8610.0,8570.0,8618.0,8561.0,56068.0,4814449620.0,243750.0,1.0
OI2309.ZCE,2023-04-19 21:15:00,8628.0,8609.0,8634.0,8605.0,58904.0,5077457840.0,242470.0,39.0
OI2309.ZCE,2023-04-19 21:00:00,8642.0,8634.0,8642.0,8634.0,940.0,81223280.0,242430.0,25.0
OI2309.ZCE,2023-04-19 15:00:00,8657.0,8648.0,8664.0,8641.0,25469.0,2203222050.0,242240.0,14.0
OI2309.ZCE,2023-04-19 14:45:00,8659.0,8656.0,8680.0,8651.0,26873.0,2328185150.0,245160.0,8.0
OI2309.ZCE,2023-04-19 14:30:00,8684.0,8660.0,8691.0,8655.0,34568.0,2997184500.0,247685.0,4.0
OI2309.ZCE,2023-04-19 14:15:00,8702.0,8684.0,8707.0,8682.0,22400.0,1947410120.0,248052.0,24.0
OI2309.ZCE,2023-04-19 14:00:00,8722.0,8702.0,8728.0,8693.0,23696.0,2063267680.0,249002.0,18.0
OI2309.ZCE,2023-04-19 13:45:00,8717.0,8721.0,8734.0,8715.0,13340.0,1163810900.0,250794.0,19.0
OI2309.ZCE,2023-04-19 11:30:00,8716.0,8717.0,8736.0,8713.0,19964.0,1742089820.0,250391.0,-4.0
OI2309.ZCE,2023-04-19 11:15:00,8716.0,8716.0,8720.0,8695.0,22091.0,1924374470.0,250567.0,-1.0
OI2309.ZCE,2023-04-19 11:00:00,8737.0,8715.0,8741.0,8704.0,23793.0,2074818900.0,250963.0,-1.0
OI2309.ZCE,2023-04-19 10:45:00,8740.0,8736.0,8747.0,8715.0,31469.0,2747941120.0,250601.0,21.0
OI2309.ZCE,2023-04-19 10:15:00,8747.0,8742.0,8750.0,8719.0,32016.0,2797109390.0,249553.0,6.0
OI2309.ZCE,2023-04-19 10:00:00,8755.0,8746.0,8766.0,8746.0,13834.0,1211477850.0,250840.0,4.0
OI2309.ZCE,2023-04-19 09:45:00,8778.0,8755.0,8784.0,8744.0,26537.0,2324081300.0,250453.0,9.0
OI2309.ZCE,2023-04-19 09:30:00,8784.0,8777.0,8785.0,8764.0,26943.0,2364425040.0,251121.0,22.0
OI2309.ZCE,2023-04-19 09:15:00,8730.0,8783.0,8784.0,8719.0,50577.0,4429556130.0,248190.0,6.0
OI2309.ZCE,2023-04-18 23:00:00,8747.0,8730.0,8747.0,8730.0,15093.0,1318570810.0,242787.0,-53.0
OI2309.ZCE,2023-04-18 22:45:00,8746.0,8747.0,8750.0,8737.0,17742.0,1551179170.0,245191.0,17.0
OI2309.ZCE,2023-04-18 22:30:00,8740.0,8745.0,8756.0,8738.0,25465.0,2227565190.0,245474.0,-2.0
