number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
1,AG2306.SHF,20230418,5694.0,5695.0,5684.0,5688.0,5582.0,5626.0,5622.0,-69.0,-73.0,818995.0,6907480.4,597941.0,-15305.0,
2,AG2306.SHF,20230417,5786.0,5767.0,5765.0,5792.0,5644.0,5694.0,5695.0,-73.0,-72.0,1339780.0,11446975.89,613246.0,-46376.0,
3,AG2306.SHF,20230414,5688.0,5671.0,5770.0,5822.0,5724.0,5786.0,5767.0,115.0,96.0,1023030.0,8850895.27,659622.0,19960.0,
4,AG2306.SHF,20230413,5673.0,5621.0,5716.0,5735.0,5626.0,5688.0,5671.0,67.0,50.0,965376.0,8212230.37,639662.0,-7445.0,
5,AG2306.SHF,20230412,5578.0,5547.0,5562.0,5692.0,5551.0,5673.0,5621.0,126.0,74.0,858230.0,7237146.33,647107.0,16604.0,
6,AG2306.SHF,20230411,5528.0,5544.0,5531.0,5602.0,5515.0,5578.0,5547.0,34.0,3.0,637933.0,5308119.57,630503.0,16811.0,
7,AG2306.SHF,20230410,5599.0,5552.0,5577.0,5583.0,5509.0,5528.0,5544.0,-24.0,-8.0,587023.0,4882483.86,613692.0,-33422.0,
8,AG2306.SHF,20230407,5554.0,5527.0,5549.0,5606.0,5497.0,5599.0,5552.0,72.0,25.0,781104.0,6505865.1,647114.0,18689.0,
9,AG2306.SHF,20230406,5354.0,5343.0,5488.0,5565.0,5475.0,5554.0,5527.0,211.0,184.0,435588.0,3611803.37,628425.0,36501.0,
10,AG2306.SHF,20230404,5294.0,5333.0,5347.0,5376.0,5317.0,5354.0,5343.0,21.0,10.0,706367.0,5661383.97,591924.0,13202.0,
11,AG2306.SHF,20230403,5344.0,5309.0,5357.0,5373.0,5277.0,5294.0,5333.0,-15.0,24.0,818379.0,6547801.47,578722.0,-34533.0,
12,AG2306.SHF,20230331,5296.0,5252.0,5316.0,5349.0,5261.0,5344.0,5309.0,92.0,57.0,763201.0,6077900.4,613255.0,16444.0,
13,AG2306.SHF,20230330,5212.0,5224.0,5230.0,5297.0,5219.0,5296.0,5252.0,72.0,28.0,586155.0,4618227.91,596811.0,35736.0,
14,AG2306.SHF,20230329,5180.0,5189.0,5201.0,5256.0,5186.0,5212.0,5224.0,23.0,35.0,620883.0,4865677.34,561075.0,6500.0,
15,AG2306.SHF,20230328,5201.0,5233.0,5183.0,5216.0,5166.0,5180.0,5189.0,-53.0,-44.0,513248.0,3995161.59,554575.0,-14728.0,
16,AG2306.SHF,20230327,5217.0,5204.0,5288.0,5306.0,5175.0,5201.0,5233.0,-3.0,29.0,1134309.0,8904862.91,569303.0,-24155.0,
17,AG2306.SHF,20230324,5185.0,5178.0,5180.0,5250.0,5162.0,5217.0,5204.0,39.0,26.0,816553.0,6374482.24,593458.0,3056.0,
